index,hight,width,estimate
0,7,2,50446242293.04446
1,9,2,8.508999423327562e+16
2,9,2,1.361300122569823e+18
3,8,2,3519326640652556.0
4,8,2,5.530865191008264e+16
5,7,2,13352471628342.703
6,6,2,85965454823.04411
7,10,1,1.227299167520508e+18
8,7,2,1023669636.9549464
9,9,2,632033029041631.0
10,7,2,60218959268.687836
11,8,2,182568525460871.34
12,7,2,1174889140712.6035
13,7,2,864610246195.2678
14,6,3,24736749683.60087
15,6,2,830067494827.4344
16,8,2,1435379675652.5093
17,8,2,4991005761034131.0
18,6,2,408990758449.42303
19,6,2,9069181973.132835
20,6,2,2911611346.66286
21,9,2,2.2601376452263685e+18
22,9,2,4.988727427771157e+16
23,10,1,2.044546884775275e+18
24,7,2,201849397702174.47
25,9,2,4532429812984989.0
26,6,2,634026465737.8837
27,5,3,141816439436.13397
28,5,2,7372705671.840192
29,8,2,1431251864661.2864
30,6,3,24736749683.60087
31,6,2,9069181973.132835
32,7,2,60218959268.687836
33,7,2,1023669636.9549464
34,7,2,1174889140712.6035
35,8,2,1435379675652.5093
8,20,28,19
33,31,30,32
