index,hight,width,estimate
0,7,2,1303889307.0
1,6,2,2421770407.0
2,5,2,42022407.0
3,7,2,4708074007.0
4,5,2,651964607.0
5,7,2,3052709807.0
6,5,2,672949907.0
7,6,2,2938268206.9999995
8,6,2,672949907.0
9,7,2,1282892107.0
10,8,2,2421770407.0
11,8,2,3052709807.0
12,7,2,1282904007.0
13,7,2,1913831507.0
14,5,2,2959265406.9999995
15,5,2,1303889307.0
16,7,2,672949907.0
17,5,2,2959253506.9999995
18,7,2,651964607.0
19,5,2,2938268206.9999995
20,6,2,4708074007.0
21,6,2,1303889307.0
22,5,2,1282904007.0
23,6,2,3052709807.0
24,6,2,651964607.0
25,6,2,672949907.0
26,6,2,1303889307.0
27,6,2,1282904007.0
28,7,2,3052709807.0
29,6,2,1913831507.0
30,6,2,651964607.0
31,6,2,1282892107.0
32,7,2,2421770407.0
33,6,2,2959253506.9999995
34,6,2,42022407.0
35,7,2,2421770407.0
36,6,2,2959265406.9999995
37,6,2,1282904007.0
38,4,2,1303901900.0
39,5,2,3988396300.0
40,5,2,4822528200.0
41,4,2,3560649400.0
42,4,2,3683649900.0
43,4,2,42023100.0
44,5,2,2747526600.0
45,4,2,1282892800.0
46,4,2,651965300.0
47,4,2,2544771600.0
48,4,2,2421771100.0
49,5,2,1303901900.0
50,4,2,651965300.0
51,4,2,1303901900.0
52,4,2,2421771100.0
53,4,2,42023100.0
54,5,3,63007707.0
55,5,3,21025207.0
56,7,3,1790831007.0
57,6,3,42010507.0
58,6,3,63007707.0
59,5,3,42010507.0
60,6,3,21025207.0
61,6,3,2980250706.9999995
62,5,3,2980250706.9999995
63,6,3,1790831007.0
64,3,3,21025900.0
65,3,3,42011200.0
66,5,3,1324887200.0
67,4,3,1790831700.0
68,4,3,3988396300.0
69,4,3,1324887200.0
70,4,3,1324887200.0
71,4,3,5961406500.0
72,4,3,2544771600.0
73,4,3,2137584400.0
74,4,3,672950600.0
75,4,3,63008400.0
76,4,3,1282892800.0
77,4,3,2544771600.0
78,3,3,693959700.0
79,3,3,21025900.0
80,4,3,672950600.0
81,3,3,42023100.0
82,5,3,2768511900.0
83,4,3,63008400.0
84,4,3,693959700.0
85,3,3,693959700.0
86,4,3,1790831700.0
87,3,4,63008400.0
88,3,4,714945000.0
89,4,4,2158569700.0
90,4,4,714945000.0
91,3,4,714945000.0
92,4,4,2544771600.0
93,3,4,84017500.0
94,3,4,42011200.0
95,3,5,105002800.0
60,55,57
64,79,94
