index,hight,width,estimate
0,6,1,227760610848656.75
1,6,1,99112640775287.56
2,6,1,19767016262.010532
3,6,1,167470539169007.03
4,6,1,68220011374.29005
5,6,1,45690133728.99175
6,6,1,108385507374.79066
7,6,1,196671184568601.28
8,4,2,302978969.7686736
9,5,2,342604726.89820915
10,4,2,96874596.1180273
11,5,2,90085430887.29562
12,5,2,5671267959.810974
13,5,2,15362134863.463099
14,4,2,19634843733.267334
15,5,2,35340599859.8288
16,4,2,125321395.2710717
17,4,2,53474674.69240256
18,5,2,407233487.01853985
19,5,2,95042632031241.56
20,4,2,2590884828.886015
21,3,2,95457125.09557423
22,3,2,137059407.3962825
23,4,2,237719751.42345613
24,5,2,201442195.67239314
25,4,2,4709776473.594656
26,5,2,9443672663.888828
27,4,2,5780097576.663665
28,5,2,28337734614.402744
29,4,2,66794084.63958523
30,5,2,36465520421.663185
31,4,2,20056651945.92945
32,4,2,9854612001.432058
33,4,2,7145958309.222116
34,4,2,154602379.3611528
35,4,2,10033378264.987112
36,3,2,2543166363.112515
37,5,2,96810214386586.45
38,5,2,9186751907.03067
39,5,2,21853337565.43724
40,4,2,2792801825.119614
41,5,2,2446666850.8003664
42,5,2,227719402924525.94
43,5,2,79822363.00346264
44,5,2,127032080.59041506
45,4,2,252616074.74689227
46,4,2,6241901402.046904
47,4,2,234732860.9677309
48,4,2,11968684688.462946
49,5,2,64216333637.83759
50,4,2,3839818944.6551485
51,5,2,57540338297.940346
52,3,2,2966969388.4952607
53,4,2,136857171471044.27
54,3,2,133712456.89915842
55,4,2,2381964771.4030185
56,4,2,11839846075.853537
57,5,2,30717935049.170834
58,4,2,50068275288246.516
59,5,2,6815393411.758809
60,5,2,66001517542.12015
61,4,2,4779747111.614945
62,4,2,17908899274.93504
63,4,2,3492307075.7646976
64,3,2,202677497.39203674
65,5,2,38356186.16556431
66,4,2,173338214.02869403
67,4,2,137059407.3962825
68,5,2,14993706066.53058
69,4,2,39139248.88589393
70,4,2,29606354005.27735
71,5,2,5583804815.270509
72,5,2,270159046.7117626
73,5,2,62180680227.90674
74,4,2,54763889.57903283
75,4,2,9050172838.702713
76,4,2,3147785075.992718
77,5,2,11378979087.364662
78,5,2,195471530192416.4
79,4,2,336824211.51496714
80,4,2,113000097.06044453
81,5,2,58153811514630.92
82,5,2,169134857903912.66
83,4,2,141760212.23413658
84,4,2,95444284.22082481
85,5,2,58719586792215.945
86,5,2,161442516946459.66
87,5,2,8382312744.301326
88,5,2,6055504755.721744
89,4,2,202677474.52362916
90,5,2,67128644.68741266
91,5,2,2613498394.2218156
92,4,2,234732860.9677309
93,5,2,270159046.7117626
94,4,2,302978969.7686736
95,3,2,133712456.89915842
96,4,2,252616074.74689227
97,4,2,95444284.22082481
98,4,2,141760212.23413658
99,4,2,39139248.88589393
100,4,2,113000097.06044453
101,5,2,342604726.89820915
102,4,2,54763889.57903283
103,4,2,53474674.69240256
104,4,2,173338214.02869403
105,3,2,95457125.09557423
106,3,3,167635225.28992328
107,4,3,165450594.6454639
108,4,3,134556882222689.12
109,3,3,119516435.43141219
110,3,3,3758465458.4703207
111,4,3,2753176584.356158
112,4,3,2798273411.0639095
113,4,3,6788786855.112707
114,3,3,2857763821.890992
115,3,3,3108159835.2292614
116,3,3,88580423.60296984
117,4,3,106123395.56784014
118,3,3,5048129.481951549
119,3,3,1945050107.559604
120,4,3,49501805120571.24
121,4,3,1031214.7416732647
122,3,3,4772650.37417505
123,4,3,5577438169.674391
124,4,3,955271.7542765416
125,4,3,3410953589.57987
126,3,3,2009117109.8844965
127,4,3,1814316136.1560667
128,4,3,2798288530.8134503
129,4,3,1887204622.396623
130,3,3,3618353085.3147445
131,3,3,125824837.5159283
132,4,3,165450594.6454639
133,4,3,106123395.56784014
134,3,3,88580423.60296984
135,3,3,5048129.481951549
136,3,3,4772650.37417505
137,3,3,125824837.5159283
138,3,4,1798616560.948328
139,3,4,1837288731.7460709
124,121,122
136,135,99
