index,hight,width,estimate
0,6,1,1.6661015435066038e+28
1,6,1,4.7602752639642727e+33
2,6,1,1.1361605623810937e+24
3,6,1,1.666099400552756e+28
4,6,1,1.1361641303624193e+24
5,6,1,4.760277907155029e+33
6,6,1,2.6017364942925343e+30
7,6,1,2.601734006796767e+30
8,4,2,1.2425370230248604e+18
9,5,2,1.4562510260952998e+29
10,4,2,20443464872423.07
11,5,2,3.1839316388214573e+28
12,4,2,4.227245738267254e+17
13,4,2,1.2915247554217493e+21
14,4,2,36614462121615.73
15,5,2,2.6017364943442035e+30
16,5,2,20440512273.12054
17,5,2,3049965714419747.5
18,5,2,1.0207704805206525e+18
19,5,2,3.030307013410256e+23
20,5,2,23283109524205.73
21,5,2,1.2915225267556052e+21
22,4,2,2.566591274583856e+16
23,4,2,1.2425334434410163e+18
24,4,2,4.838439655154617e+21
25,5,2,2.0766867974902708e+21
26,5,2,9.096056166989824e+24
27,5,2,634543827742570.5
28,3,2,5.4209799427782035e+17
29,4,2,15773954576750.527
30,3,2,6.761341344777805e+17
31,4,2,9.815757800857567e+18
32,5,2,3.3235053047303147e+21
33,4,2,15774275534478.799
34,5,2,5.802514928069031e+19
35,4,2,3.2920157404423114e+20
36,4,2,9.10020521069077e+24
37,5,2,4.658647152028983e+18
38,5,2,8.845030526490343e+24
39,4,2,9.096056052434733e+24
40,4,2,2.515409127586817e+19
41,5,2,2.6017364942649396e+30
42,4,2,9044549021535608.0
43,3,2,2.5658424923885852e+16
44,5,2,1.651285836565732e+19
45,5,2,22770485223032.277
46,3,2,3.365295216897119e+18
47,4,2,5.921198486272192e+19
48,4,2,4.658470656359515e+18
49,5,2,4.838436235500013e+21
50,4,2,19697691431565.02
51,4,2,16350430945205.543
52,4,2,54010366483666.17
53,4,2,4.658474618070323e+18
54,4,2,4061682612.6658773
55,5,2,9.10020532524495e+24
56,4,2,93975097912125.89
57,4,2,1.2332884524599052e+21
58,4,2,9040951484582974.0
59,5,2,2.359095652354825e+24
60,5,2,6.631706410331525e+29
61,4,2,6.686886875154998e+17
62,4,2,1.094185332597528e+19
63,3,2,9039448839046454.0
64,5,2,24865250861.400085
65,4,2,17271094527845.596
66,5,2,1.13615720252409e+24
67,5,2,4.658654044676674e+18
68,4,2,2.092460212444973e+23
69,4,2,9.100205279058159e+24
70,5,2,1.2996058435481394e+29
71,5,2,2.6017340067484913e+30
72,5,2,3.1846708493645233e+28
73,4,2,1.278968957534142e+24
74,4,2,1.5809010812339147e+19
75,5,2,1.0207691677421123e+18
76,5,2,3.256016610569234e+19
77,5,2,4.6942926165565596e+19
78,5,2,2.6017340068484364e+30
79,4,2,2.5662893751100596e+16
80,4,2,9.096056086185623e+24
81,4,2,1.7528681619896435e+18
82,5,2,4.838437425993577e+21
83,5,2,6.631681277295928e+29
84,5,2,1.2915236032548155e+21
85,4,2,1.172777453145501e+19
86,3,2,1.752863518200475e+18
87,5,2,12796199545.43719
88,4,2,17908522987982.8
89,4,2,3.365297503899691e+18
90,4,2,1702026000.1312134
91,5,2,18054345413.490726
92,3,2,2.5658424923885852e+16
93,4,2,9.096056086185623e+24
94,4,2,2.566591274583856e+16
95,5,2,9.10020532524495e+24
96,4,2,6.686886875154998e+17
97,5,2,9.096056166989824e+24
98,4,2,9044549021535608.0
99,3,2,9039448839046454.0
100,4,2,9.10020521069077e+24
101,4,2,9040951484582974.0
102,4,2,9.100205279058159e+24
103,4,2,2.5662893751100596e+16
104,4,2,4.227245738267254e+17
105,4,2,9.096056052434733e+24
106,4,3,16725557450855.85
107,3,3,2.4384527297996262e+17
108,4,3,578642011418784.2
109,3,3,4.190982595267265e+17
110,4,3,50200342716306.89
111,3,3,17495385629940.217
112,4,3,1.29152149001977e+21
113,3,3,32076681160904.637
114,4,3,322248926069364.1
115,3,3,21705221559570.363
116,3,3,20676948718306.64
117,4,3,2.1545601252445515e+21
118,3,3,12212289595168.018
119,3,3,1.3369850212459238e+16
120,3,3,3533778727608.8286
121,4,3,19150875662301.15
122,4,3,1.46243334427802e+22
123,4,3,11598939564.394835
124,4,3,277855667801039.5
125,3,3,9037494723025584.0
126,4,3,1.8845722375488178e+22
127,4,3,56077106595802.95
128,4,3,8577937263.312519
129,3,3,5943711176527.205
130,4,3,940847661387442.9
131,3,3,19294349074338.65
132,4,3,1.46243334427802e+22
133,3,3,32076681160904.637
134,3,3,12212289595168.018
135,3,3,1.3369850212459238e+16
136,4,3,1.8845722375488178e+22
137,3,3,9037494723025584.0
138,3,4,37758118835235.95
139,3,4,44925520841269.87
90,54,128
134,133,137
